building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Robin_office_Saul;Summer workdays;301.4;0.73;Non-thermal sensitive
Robin_office_Saul;Winter workdays;717.74;0.78;Non-thermal sensitive
Robin_office_Serena;Summer workdays;1456.22;0.47;Thermal sensitive
Robin_office_Serena;Winter workdays;1462.75;0.57;Non-thermal sensitive
Robin_office_Soledad;Summer workdays;314.9;0.71;Non-thermal sensitive
Robin_office_Soledad;Winter workdays;388.13;0.58;Non-thermal sensitive
Robin_office_Victor;Summer workdays;1385.77;0.51;Non-thermal sensitive
Robin_office_Victor;Winter workdays;1528.37;0.51;Non-thermal sensitive
Robin_office_Zelma;Summer workdays;2438.69;0.6;Thermal sensitive
Robin_office_Zelma;Winter workdays;2651.11;0.54;Non-thermal sensitive
Wolf_office_Bobbie;Summer workdays;706.59;0.57;Non-thermal sensitive
Wolf_office_Bobbie;Winter workdays;767.42;0.54;Non-thermal sensitive
Wolf_office_Cary;Summer workdays;6443.19;0.6;Thermal sensitive
Wolf_office_Cary;Winter workdays;6287.74;0.58;Non-thermal sensitive
Wolf_office_Darleen;Summer workdays;1151.04;0.51;Non-thermal sensitive
Wolf_office_Darleen;Winter workdays;1161.6;0.49;Non-thermal sensitive
Wolf_office_Elisabeth;Summer workdays;3236.38;0.9;Non-thermal sensitive
Wolf_office_Elisabeth;Winter workdays;3182.44;0.89;Non-thermal sensitive
Wolf_office_Emanuel;Summer workdays;367;0.76;Non-thermal sensitive
Wolf_office_Emanuel;Winter workdays;413.11;0.74;Non-thermal sensitive
Wolf_office_Haydee;Summer workdays;196.84;0.51;Non-thermal sensitive
Wolf_office_Haydee;Winter workdays;249.28;0.49;Non-thermal sensitive
Wolf_office_Joana;Summer workdays;327.1;1.03;Non-thermal sensitive
Wolf_office_Joana;Winter workdays;385.37;0.99;Non-thermal sensitive
Wolf_office_Nadia;Summer workdays;1977.16;0.66;Non-thermal sensitive
Wolf_office_Nadia;Winter workdays;1973.17;0.64;Non-thermal sensitive
Wolf_office_Rochelle;Summer workdays;439.61;0.49;Thermal sensitive
Wolf_office_Rochelle;Winter workdays;476.15;0.47;Non-thermal sensitive
