building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Fox_education_Janina;Summer workdays;2986.48;0.77;Non-thermal sensitive
Fox_education_Janina;Winter workdays;3335.17;0.79;Non-thermal sensitive
Fox_education_John;Summer workdays;1702.88;0.51;Thermal sensitive
Fox_education_John;Winter workdays;1362.34;0.54;Non-thermal sensitive
Fox_education_Kendrick;Summer workdays;378.53;0.63;Non-thermal sensitive
Fox_education_Kendrick;Winter workdays;400.53;0.72;Non-thermal sensitive
Fox_education_Kim;Summer workdays;1444.01;0.68;Non-thermal sensitive
Fox_education_Kim;Winter workdays;1532.05;0.7;Non-thermal sensitive
Fox_education_Kris;Summer workdays;3516.21;0.51;Thermal sensitive
Fox_education_Kris;Winter workdays;2336.22;0.55;Thermal sensitive
Fox_education_Leona;Summer workdays;7123.63;0.71;Non-thermal sensitive
Fox_education_Leona;Winter workdays;7051.87;0.71;Non-thermal sensitive
Fox_education_Leota;Summer workdays;5484.14;0.74;Non-thermal sensitive
Fox_education_Leota;Winter workdays;5523.44;0.71;Non-thermal sensitive
Fox_education_Lesley;Summer workdays;368.21;0.64;Non-thermal sensitive
Fox_education_Lesley;Winter workdays;377.07;0.63;Thermal sensitive
Fox_education_Lilly;Summer workdays;4586.91;0.79;Non-thermal sensitive
Fox_education_Lilly;Winter workdays;4782.52;0.73;Non-thermal sensitive
Fox_education_Long;Summer workdays;3668.82;0.64;Non-thermal sensitive
Fox_education_Long;Winter workdays;3819.81;0.63;Non-thermal sensitive
Fox_education_Louie;Summer workdays;1915.29;0.86;Non-thermal sensitive
Fox_education_Louie;Winter workdays;2082.3;0.79;Thermal sensitive
Fox_education_Marcelina;Summer workdays;72.47;0.52;Non-thermal sensitive
Fox_education_Marcelina;Winter workdays;132.41;0.66;Thermal sensitive
Fox_education_Marlana;Summer workdays;4579.88;0.87;Non-thermal sensitive
Fox_education_Marlana;Winter workdays;4600.31;0.89;Non-thermal sensitive
Fox_education_Melinda;Summer workdays;9384.89;0.89;Non-thermal sensitive
Fox_education_Melinda;Winter workdays;8899.58;0.87;Thermal sensitive
Fox_education_Melvin;Summer workdays;1552.79;0.57;Non-thermal sensitive
Fox_education_Melvin;Winter workdays;1543.22;0.55;Non-thermal sensitive
Fox_education_Miguelina;Summer workdays;2664.71;0.56;Non-thermal sensitive
Fox_education_Miguelina;Winter workdays;2362.76;0.62;Non-thermal sensitive
Fox_education_Nilda;Summer workdays;3588.91;0.64;Non-thermal sensitive
Fox_education_Nilda;Winter workdays;3483.01;0.65;Non-thermal sensitive
Fox_education_Ollie;Summer workdays;2581.18;0.79;Non-thermal sensitive
Fox_education_Ollie;Winter workdays;2811.83;0.8;Thermal sensitive
Fox_education_Otilia;Summer workdays;23058.33;0.92;Non-thermal sensitive
Fox_education_Otilia;Winter workdays;22989.2;0.92;Non-thermal sensitive
Fox_education_Ray;Summer workdays;1089.41;1.05;Non-thermal sensitive
Fox_education_Ray;Winter workdays;1473.73;1.04;Thermal sensitive
Fox_education_Rosie;Summer workdays;2881.16;0.97;Non-thermal sensitive
Fox_education_Rosie;Winter workdays;3483.87;1;Thermal sensitive
Fox_education_Rudolph;Summer workdays;615.8;0.68;Non-thermal sensitive
Fox_education_Rudolph;Winter workdays;658.43;0.68;Non-thermal sensitive
Fox_education_Shaun;Summer workdays;1876.39;0.88;Non-thermal sensitive
Fox_education_Shaun;Winter workdays;2695.12;0.83;Thermal sensitive
Fox_education_Shawanda;Summer workdays;334.31;0.59;Thermal sensitive
Fox_education_Shawanda;Winter workdays;166.83;1.12;Non-thermal sensitive
Fox_education_Shirley;Summer workdays;2457.41;0.77;Non-thermal sensitive
Fox_education_Shirley;Winter workdays;2810.52;0.73;Thermal sensitive
Fox_education_Stacia;Summer workdays;1878.82;0.94;Non-thermal sensitive
Fox_education_Stacia;Winter workdays;1897.75;0.92;Non-thermal sensitive
Fox_education_Sterling;Summer workdays;642.13;0.32;Non-thermal sensitive
Fox_education_Sterling;Winter workdays;595.77;0.36;Thermal sensitive
Fox_education_Suzan;Summer workdays;1187.6;0.73;Non-thermal sensitive
Fox_education_Suzan;Winter workdays;1199.05;0.71;Non-thermal sensitive
Fox_education_Tamika;Summer workdays;4407.8;0.67;Non-thermal sensitive
Fox_education_Tamika;Winter workdays;3191.71;0.72;Non-thermal sensitive
Fox_education_Theodore;Summer workdays;6599.87;0.95;Non-thermal sensitive
Fox_education_Theodore;Winter workdays;6618.76;0.93;Non-thermal sensitive
Fox_education_Tonya;Summer workdays;4183.53;1.01;Non-thermal sensitive
Fox_education_Tonya;Winter workdays;4257.57;0.97;Non-thermal sensitive
Fox_education_Virgil;Summer workdays;2265.29;0.85;Non-thermal sensitive
Fox_education_Virgil;Winter workdays;2244.07;0.85;Non-thermal sensitive
Fox_education_Virginia;Summer workdays;215.52;0.66;Non-thermal sensitive
Fox_education_Virginia;Winter workdays;308.43;0.66;Thermal sensitive
Fox_education_Wendell;Summer workdays;13019.82;0.91;Non-thermal sensitive
Fox_education_Wendell;Winter workdays;12808.08;0.89;Non-thermal sensitive
Fox_education_Willis;Summer workdays;59719;0.98;Thermal sensitive
Fox_education_Willis;Winter workdays;54429;0.99;Non-thermal sensitive
Fox_education_Yolande;Summer workdays;12784.37;0.85;Non-thermal sensitive
Fox_education_Yolande;Winter workdays;12904.29;0.85;Non-thermal sensitive
Hog_education_Beth;Summer workdays;2506.37;0.62;Non-thermal sensitive
Hog_education_Beth;Winter workdays;2878.01;0.62;Non-thermal sensitive
Hog_education_Bruno;Summer workdays;6470.61;0.81;Non-thermal sensitive
Hog_education_Bruno;Winter workdays;6640.18;0.8;Non-thermal sensitive
Hog_education_Caridad;Summer workdays;38271.71;0.81;Thermal sensitive
Hog_education_Caridad;Winter workdays;25635.63;0.88;Non-thermal sensitive
Hog_education_Casandra;Summer workdays;27458.75;0.86;Thermal sensitive
Hog_education_Casandra;Winter workdays;20228.68;0.89;Non-thermal sensitive
Hog_education_Cathleen;Summer workdays;13887.12;0.89;Thermal sensitive
Hog_education_Cathleen;Winter workdays;13678.59;0.92;Non-thermal sensitive
Hog_education_Donnie;Summer workdays;3136.05;0.38;Thermal sensitive
Hog_education_Donnie;Winter workdays;1153.88;0.47;Non-thermal sensitive
Hog_education_George;Summer workdays;5667.15;0.85;Thermal sensitive
Hog_education_George;Winter workdays;5118.09;0.84;Non-thermal sensitive
Hog_education_Hallie;Summer workdays;1630.05;0.86;Non-thermal sensitive
Hog_education_Hallie;Winter workdays;1651.47;0.86;Non-thermal sensitive
Hog_education_Haywood;Summer workdays;3423.36;0.93;Non-thermal sensitive
Hog_education_Haywood;Winter workdays;3431.69;0.93;Non-thermal sensitive
Hog_education_Janell;Summer workdays;91664.13;0.83;Thermal sensitive
Hog_education_Janell;Winter workdays;75315.82;0.85;Non-thermal sensitive
Hog_education_Jared;Summer workdays;342.47;0.46;Non-thermal sensitive
Hog_education_Jared;Winter workdays;422.52;0.41;Non-thermal sensitive
Hog_education_Jewel;Summer workdays;1860.79;0.69;Non-thermal sensitive
Hog_education_Jewel;Winter workdays;1640.62;0.66;Non-thermal sensitive
Hog_education_Jordan;Summer workdays;2701.8;0.6;Thermal sensitive
Hog_education_Jordan;Winter workdays;2516.17;0.63;Non-thermal sensitive
Hog_education_Leandro;Summer workdays;12489.92;0.78;Thermal sensitive
Hog_education_Leandro;Winter workdays;11484.98;0.75;Non-thermal sensitive
Hog_education_Luvenia;Summer workdays;12744.18;0.79;Non-thermal sensitive
Hog_education_Luvenia;Winter workdays;11630.15;0.74;Non-thermal sensitive
Hog_education_Madge;Summer workdays;2311.4;0.7;Non-thermal sensitive
Hog_education_Madge;Winter workdays;2351.1;0.69;Non-thermal sensitive
Hog_education_Odell;Summer workdays;13521.21;0.92;Non-thermal sensitive
Hog_education_Odell;Winter workdays;12680.83;0.9;Non-thermal sensitive
Hog_education_Rachael;Summer workdays;2104.04;0.8;Thermal sensitive
Hog_education_Rachael;Winter workdays;1452.22;0.82;Thermal sensitive
Hog_education_Robert;Summer workdays;15784.24;0.61;Thermal sensitive
Hog_education_Robert;Winter workdays;12946.13;0.57;Non-thermal sensitive
Hog_education_Roberto;Summer workdays;4858.24;0.58;Non-thermal sensitive
Hog_education_Roberto;Winter workdays;5753.91;0.55;Non-thermal sensitive
Hog_education_Sonia;Summer workdays;16026.97;0.78;Non-thermal sensitive
Hog_education_Sonia;Winter workdays;15177.55;0.79;Non-thermal sensitive
Hog_education_Wayne;Summer workdays;4194.92;0.72;Non-thermal sensitive
Hog_education_Wayne;Winter workdays;3954.58;0.68;Non-thermal sensitive
Moose_education_Abbie;Summer workdays;110007.57;0.81;Non-thermal sensitive
Moose_education_Abbie;Winter workdays;113117.07;0.78;Non-thermal sensitive
Moose_education_Clark;Summer workdays;78031.77;0.67;Non-thermal sensitive
Moose_education_Clark;Winter workdays;80515.94;0.63;Non-thermal sensitive
Moose_education_Florence;Summer workdays;32533.39;0.56;Non-thermal sensitive
Moose_education_Florence;Winter workdays;34798.17;0.54;Non-thermal sensitive
Moose_education_Gladys;Summer workdays;102811.53;0.73;Non-thermal sensitive
Moose_education_Gladys;Winter workdays;104529.79;0.7;Non-thermal sensitive
Moose_education_Leland;Summer workdays;103247.49;0.77;Thermal sensitive
Moose_education_Leland;Winter workdays;172521.84;0.66;Non-thermal sensitive
Moose_education_Lori;Summer workdays;16258.6;1.01;Non-thermal sensitive
Moose_education_Lori;Winter workdays;19515.81;1.07;Thermal sensitive
Moose_education_Maria;Summer workdays;78483.2;0.97;Non-thermal sensitive
Moose_education_Maria;Winter workdays;71518.04;0.89;Non-thermal sensitive
Moose_education_Marina;Summer workdays;3683.66;0.74;Non-thermal sensitive
Moose_education_Marina;Winter workdays;3767.92;0.73;Non-thermal sensitive
Moose_education_Marlon;Summer workdays;18425.53;0.67;Non-thermal sensitive
Moose_education_Marlon;Winter workdays;18967.11;0.66;Non-thermal sensitive
Moose_education_Rene;Summer workdays;48689.56;0.49;Non-thermal sensitive
Moose_education_Rene;Winter workdays;52635.52;0.46;Non-thermal sensitive
Moose_education_Ricardo;Summer workdays;26789.04;0.82;Non-thermal sensitive
Moose_education_Ricardo;Winter workdays;30796.07;0.82;Non-thermal sensitive
Panther_education_Alecia;Summer workdays;17142.14;0.72;Non-thermal sensitive
Panther_education_Alecia;Winter workdays;17848.97;0.67;Thermal sensitive
Panther_education_Annetta;Summer workdays;8936.83;0.77;Non-thermal sensitive
Panther_education_Annetta;Winter workdays;9711.51;0.73;Thermal sensitive
Panther_education_Aurora;Summer workdays;11385.9;0.66;Non-thermal sensitive
Panther_education_Aurora;Winter workdays;11420.58;0.64;Non-thermal sensitive
Panther_education_Cleopatra;Summer workdays;2131.04;0.51;Non-thermal sensitive
Panther_education_Cleopatra;Winter workdays;2683.59;0.56;Non-thermal sensitive
Panther_education_Diann;Summer workdays;5754.62;0.56;Thermal sensitive
Panther_education_Diann;Winter workdays;7116.92;0.71;Non-thermal sensitive
Panther_education_Edna;Summer workdays;11582.44;0.75;Non-thermal sensitive
Panther_education_Edna;Winter workdays;11808.95;0.65;Non-thermal sensitive
Panther_education_Emily;Summer workdays;10505.59;0.75;Non-thermal sensitive
Panther_education_Emily;Winter workdays;11593.92;0.71;Thermal sensitive
Panther_education_Enriqueta;Summer workdays;7721.95;0.7;Non-thermal sensitive
Panther_education_Enriqueta;Winter workdays;9086.22;0.68;Thermal sensitive
Panther_education_Genevieve;Summer workdays;21660.78;0.87;Non-thermal sensitive
Panther_education_Genevieve;Winter workdays;22787;0.87;Non-thermal sensitive
Panther_education_Gina;Summer workdays;33604.42;0.9;Non-thermal sensitive
Panther_education_Gina;Winter workdays;31679.21;0.91;Non-thermal sensitive
Panther_education_Hugh;Summer workdays;49013.17;0.96;Non-thermal sensitive
Panther_education_Hugh;Winter workdays;50973.23;0.97;Non-thermal sensitive
Panther_education_Ivan;Summer workdays;10578.11;0.81;Non-thermal sensitive
Panther_education_Ivan;Winter workdays;11130.8;0.79;Thermal sensitive
Panther_education_Janis;Summer workdays;2721.78;0.6;Thermal sensitive
Panther_education_Janis;Winter workdays;2005.5;0.6;Non-thermal sensitive
Panther_education_Jerome;Summer workdays;41295.77;0.88;Non-thermal sensitive
Panther_education_Jerome;Winter workdays;40949.16;0.88;Non-thermal sensitive
Panther_education_Jonathan;Summer workdays;622.34;0.86;Thermal sensitive
Panther_education_Jonathan;Winter workdays;721.71;0.94;Non-thermal sensitive
Panther_education_Karri;Summer workdays;32318.05;0.97;Non-thermal sensitive
Panther_education_Karri;Winter workdays;31277.53;0.97;Thermal sensitive
Panther_education_Mattie;Summer workdays;623.24;0.42;Non-thermal sensitive
Panther_education_Mattie;Winter workdays;528.8;0.56;Non-thermal sensitive
Panther_education_Misty;Summer workdays;3037.39;1;Non-thermal sensitive
Panther_education_Misty;Winter workdays;2294;0.89;Thermal sensitive
Panther_education_Mohammad;Summer workdays;12795.32;0.73;Non-thermal sensitive
Panther_education_Mohammad;Winter workdays;13033.69;0.68;Non-thermal sensitive
Panther_education_Neal;Summer workdays;20572.81;0.95;Non-thermal sensitive
Panther_education_Neal;Winter workdays;24354.99;0.88;Non-thermal sensitive
Panther_education_Quintin;Summer workdays;23839.65;0.81;Thermal sensitive
Panther_education_Quintin;Winter workdays;26886.04;0.81;Thermal sensitive
Panther_education_Rosalie;Summer workdays;5172.68;1.03;Non-thermal sensitive
Panther_education_Rosalie;Winter workdays;5122.32;0.99;Non-thermal sensitive
Panther_education_Scarlett;Summer workdays;1751.19;0.74;Non-thermal sensitive
Panther_education_Scarlett;Winter workdays;1988.74;0.69;Non-thermal sensitive
Panther_education_Shelton;Summer workdays;9134.58;0.89;Non-thermal sensitive
Panther_education_Shelton;Winter workdays;11284.59;0.97;Thermal sensitive
Panther_education_Sophia;Summer workdays;11588.93;0.97;Non-thermal sensitive
Panther_education_Sophia;Winter workdays;12009.41;0.95;Non-thermal sensitive
Panther_education_Teofila;Summer workdays;12450.29;0.76;Non-thermal sensitive
Panther_education_Teofila;Winter workdays;14266.55;0.7;Thermal sensitive
Panther_education_Tina;Summer workdays;746.17;0.68;Thermal sensitive
Panther_education_Tina;Winter workdays;409.98;0.75;Thermal sensitive
Panther_education_Vincent;Summer workdays;11827.93;0.59;Non-thermal sensitive
Panther_education_Vincent;Winter workdays;12980.15;0.58;Non-thermal sensitive
Panther_education_Violet;Summer workdays;12991.66;0.9;Non-thermal sensitive
Panther_education_Violet;Winter workdays;11320.76;0.96;Non-thermal sensitive
Panther_education_Zelda;Summer workdays;6476.78;0.67;Non-thermal sensitive
Panther_education_Zelda;Winter workdays;7616.51;0.6;Thermal sensitive
Peacock_education_Anita;Summer workdays;264.32;0.55;Non-thermal sensitive
Peacock_education_Anita;Winter workdays;296.21;0.77;Non-thermal sensitive
Peacock_education_Dustin;Summer workdays;1110.03;0.62;Non-thermal sensitive
Peacock_education_Dustin;Winter workdays;1138.72;0.64;Non-thermal sensitive
Peacock_education_Forest;Summer workdays;2098.37;0.74;Non-thermal sensitive
Peacock_education_Forest;Winter workdays;2164.27;0.77;Non-thermal sensitive
Peacock_education_Gilberto;Summer workdays;25362.1;0.87;Non-thermal sensitive
Peacock_education_Gilberto;Winter workdays;25493.47;0.89;Non-thermal sensitive
Peacock_education_Joshua;Summer workdays;11170.59;0.9;Non-thermal sensitive
Peacock_education_Joshua;Winter workdays;11391.32;0.91;Non-thermal sensitive
Peacock_education_Karyn;Summer workdays;11657.25;0.94;Non-thermal sensitive
Peacock_education_Karyn;Winter workdays;11511.83;0.96;Non-thermal sensitive
Peacock_education_Lyle;Summer workdays;16560.41;0.72;Non-thermal sensitive
Peacock_education_Lyle;Winter workdays;16896.99;0.73;Non-thermal sensitive
Peacock_education_Ophelia;Summer workdays;17086.32;0.93;Non-thermal sensitive
Peacock_education_Ophelia;Winter workdays;17683.31;0.94;Non-thermal sensitive
Peacock_education_Pasquale;Summer workdays;4406.21;0.91;Non-thermal sensitive
Peacock_education_Pasquale;Winter workdays;4645.96;0.92;Non-thermal sensitive
Peacock_education_Patience;Summer workdays;695.47;0.65;Non-thermal sensitive
Peacock_education_Patience;Winter workdays;700.38;0.59;Non-thermal sensitive
Peacock_education_Robbie;Summer workdays;903;0.69;Non-thermal sensitive
Peacock_education_Robbie;Winter workdays;1007.67;0.68;Non-thermal sensitive
Peacock_education_Shelly;Summer workdays;2729.85;0.88;Non-thermal sensitive
Peacock_education_Shelly;Winter workdays;2811.24;0.91;Non-thermal sensitive
Peacock_education_Yolanda;Summer workdays;909.62;0.7;Non-thermal sensitive
Peacock_education_Yolanda;Winter workdays;895.11;0.71;Non-thermal sensitive
Rat_education_Adell;Summer workdays;6557.56;0.74;Non-thermal sensitive
Rat_education_Adell;Winter workdays;6929.87;0.72;Non-thermal sensitive
Rat_education_Adrian;Summer workdays;562.54;1.25;Non-thermal sensitive
Rat_education_Adrian;Winter workdays;289.48;1.43;Non-thermal sensitive
Rat_education_Alfred;Summer workdays;2650.1;0.43;Non-thermal sensitive
Rat_education_Alfred;Winter workdays;2435.03;0.57;Thermal sensitive
Rat_education_Barney;Summer workdays;5666.09;0.9;Thermal sensitive
Rat_education_Barney;Winter workdays;4137.83;0.86;Non-thermal sensitive
Rat_education_Beverly;Summer workdays;1307.77;0.75;Thermal sensitive
Rat_education_Beverly;Winter workdays;1293.67;0.75;Thermal sensitive
Rat_education_Brett;Summer workdays;4483.23;0.58;Thermal sensitive
Rat_education_Brett;Winter workdays;4004.59;0.67;Thermal sensitive
Rat_education_Bryant;Summer workdays;610.61;0.93;Thermal sensitive
Rat_education_Bryant;Winter workdays;399.81;0.92;Thermal sensitive
Rat_education_Calvin;Summer workdays;641.81;0.68;Thermal sensitive
Rat_education_Calvin;Winter workdays;1141.99;0.95;Non-thermal sensitive
Rat_education_Candida;Summer workdays;2440.25;0.68;Thermal sensitive
Rat_education_Candida;Winter workdays;1612.37;0.54;Non-thermal sensitive
Rat_education_Carmela;Summer workdays;1132.5;0.83;Thermal sensitive
Rat_education_Carmela;Winter workdays;787.18;0.98;Non-thermal sensitive
Rat_education_Cecil;Summer workdays;169.71;1;Thermal sensitive
Rat_education_Cecil;Winter workdays;229.84;1.08;Non-thermal sensitive
Rat_education_Cedric;Summer workdays;4077.61;0.79;Thermal sensitive
Rat_education_Cedric;Winter workdays;3792.73;0.83;Thermal sensitive
Rat_education_Cinthia;Summer workdays;2619.39;0.7;Thermal sensitive
Rat_education_Cinthia;Winter workdays;2619.3;0.8;Thermal sensitive
Rat_education_Colin;Summer workdays;1577.77;0.76;Non-thermal sensitive
Rat_education_Colin;Winter workdays;917.07;0.78;Non-thermal sensitive
Rat_education_Conrad;Summer workdays;7004.89;0.48;Thermal sensitive
Rat_education_Conrad;Winter workdays;3056.74;0.53;Thermal sensitive
Rat_education_Dann;Summer workdays;192.24;1.24;Non-thermal sensitive
Rat_education_Dann;Winter workdays;26.41;1.72;Non-thermal sensitive
Rat_education_Davis;Summer workdays;2042.68;0.54;Non-thermal sensitive
Rat_education_Davis;Winter workdays;1881.72;0.57;Thermal sensitive
Rat_education_Deanna;Summer workdays;1995.07;0.63;Thermal sensitive
Rat_education_Deanna;Winter workdays;2234.21;0.77;Thermal sensitive
Rat_education_Debra;Summer workdays;3029.27;0.77;Thermal sensitive
Rat_education_Debra;Winter workdays;2441.73;0.8;Non-thermal sensitive
Rat_education_Dianne;Summer workdays;4309.17;0.7;Non-thermal sensitive
Rat_education_Dianne;Winter workdays;4254.92;0.81;Non-thermal sensitive
Rat_education_Dreama;Summer workdays;2339.04;0.8;Non-thermal sensitive
Rat_education_Dreama;Winter workdays;1888.89;0.93;Non-thermal sensitive
Rat_education_Earl;Summer workdays;577.38;0.94;Thermal sensitive
Rat_education_Earl;Winter workdays;456.15;0.95;Thermal sensitive
Rat_education_Earnest;Summer workdays;1673.35;0.71;Non-thermal sensitive
Rat_education_Earnest;Winter workdays;1481.17;0.63;Non-thermal sensitive
Rat_education_Edmund;Summer workdays;4781.18;0.76;Thermal sensitive
Rat_education_Edmund;Winter workdays;3474.92;0.7;Thermal sensitive
Rat_education_Elisa;Summer workdays;1248.72;0.62;Non-thermal sensitive
Rat_education_Elisa;Winter workdays;1146.88;0.44;Non-thermal sensitive
Rat_education_Elsie;Summer workdays;774.95;0.86;Non-thermal sensitive
Rat_education_Elsie;Winter workdays;1038.31;0.98;Thermal sensitive
Rat_education_Esther;Summer workdays;2381.34;0.7;Thermal sensitive
Rat_education_Esther;Winter workdays;1990.26;0.71;Thermal sensitive
Rat_education_Everett;Summer workdays;7971.88;0.64;Non-thermal sensitive
Rat_education_Everett;Winter workdays;7215.82;0.67;Thermal sensitive
Rat_education_Fernando;Summer workdays;1833.54;1.01;Non-thermal sensitive
Rat_education_Fernando;Winter workdays;2545.59;1.01;Non-thermal sensitive
Rat_education_Francisca;Summer workdays;1760.29;0.87;Thermal sensitive
Rat_education_Francisca;Winter workdays;1053.67;0.91;Non-thermal sensitive
Rat_education_Gricelda;Summer workdays;697.73;0.95;Thermal sensitive
Rat_education_Gricelda;Winter workdays;776.26;0.92;Non-thermal sensitive
Rat_education_Guillermo;Summer workdays;3502.46;0.75;Thermal sensitive
Rat_education_Guillermo;Winter workdays;2415.98;0.79;Non-thermal sensitive
Rat_education_Humberto;Summer workdays;366.02;0.92;Thermal sensitive
Rat_education_Humberto;Winter workdays;319.63;0.94;Thermal sensitive
Rat_education_Imelda;Summer workdays;449.72;0.82;Thermal sensitive
Rat_education_Imelda;Winter workdays;341.63;0.84;Non-thermal sensitive
Rat_education_Irma;Summer workdays;320.87;0.98;Thermal sensitive
Rat_education_Irma;Winter workdays;294.01;1.05;Thermal sensitive
Rat_education_Jacob;Summer workdays;2389.44;0.44;Thermal sensitive
Rat_education_Jacob;Winter workdays;2221.51;0.6;Thermal sensitive
Rat_education_Jame;Summer workdays;26712.9;1.01;Thermal sensitive
Rat_education_Jame;Winter workdays;23440.32;0.97;Non-thermal sensitive
Rat_education_Jeanne;Summer workdays;4482.63;0.96;Thermal sensitive
Rat_education_Jeanne;Winter workdays;4088.1;0.99;Non-thermal sensitive
Rat_education_Jena;Summer workdays;1163.03;0.36;Thermal sensitive
Rat_education_Jena;Winter workdays;1057.23;0.42;Non-thermal sensitive
Rat_education_Jesse;Summer workdays;248.62;0.93;Thermal sensitive
Rat_education_Jesse;Winter workdays;185.14;0.96;Non-thermal sensitive
Rat_education_Kandice;Summer workdays;1297.35;1.05;Non-thermal sensitive
Rat_education_Kandice;Winter workdays;1815.21;1.18;Thermal sensitive
Rat_education_Kathryn;Summer workdays;75.33;1.24;Thermal sensitive
Rat_education_Kathryn;Winter workdays;135.94;1.32;Non-thermal sensitive
Rat_education_Keith;Summer workdays;115.77;1.08;Thermal sensitive
Rat_education_Keith;Winter workdays;189.6;1.41;Thermal sensitive
Rat_education_Kelsey;Summer workdays;4470.7;0.83;Non-thermal sensitive
Rat_education_Kelsey;Winter workdays;3599.1;0.77;Non-thermal sensitive
Rat_education_Lee;Summer workdays;1584.26;0.76;Thermal sensitive
Rat_education_Lee;Winter workdays;1324.49;0.77;Non-thermal sensitive
Rat_education_Leonardo;Summer workdays;1145.2;0.68;Non-thermal sensitive
Rat_education_Leonardo;Winter workdays;1377.35;0.56;Non-thermal sensitive
Rat_education_Lincoln;Summer workdays;4132.61;0.77;Thermal sensitive
Rat_education_Lincoln;Winter workdays;3373.68;0.75;Non-thermal sensitive
Rat_education_Liz;Summer workdays;469.47;0.94;Thermal sensitive
Rat_education_Liz;Winter workdays;337.3;0.99;Non-thermal sensitive
Rat_education_Lonnie;Summer workdays;1898.49;0.51;Thermal sensitive
Rat_education_Lonnie;Winter workdays;1365.77;0.48;Non-thermal sensitive
Rat_education_Lynn;Summer workdays;36232.04;0.94;Thermal sensitive
Rat_education_Lynn;Winter workdays;28912.12;0.96;Thermal sensitive
Rat_education_Marcos;Summer workdays;7802.13;0.83;Non-thermal sensitive
Rat_education_Marcos;Winter workdays;7682.32;0.89;Thermal sensitive
Rat_education_Marianna;Summer workdays;11113.27;0.79;Thermal sensitive
Rat_education_Marianna;Winter workdays;10854.11;0.84;Thermal sensitive
Rat_education_Maricela;Summer workdays;5205.18;0.71;Thermal sensitive
Rat_education_Maricela;Winter workdays;4027.2;0.66;Non-thermal sensitive
Rat_education_Marvin;Summer workdays;617.63;0.78;Thermal sensitive
Rat_education_Marvin;Winter workdays;525.38;0.81;Non-thermal sensitive
Rat_education_Mavis;Summer workdays;372.57;1.02;Thermal sensitive
Rat_education_Mavis;Winter workdays;715.32;1.14;Thermal sensitive
Rat_education_Meghan;Summer workdays;2425.24;0.64;Non-thermal sensitive
Rat_education_Meghan;Winter workdays;2703.17;0.72;Thermal sensitive
Rat_education_Milagros;Summer workdays;616.77;0.65;Non-thermal sensitive
Rat_education_Milagros;Winter workdays;815.42;0.83;Thermal sensitive
Rat_education_Mona;Summer workdays;1488.08;0.56;Non-thermal sensitive
Rat_education_Mona;Winter workdays;1489.44;0.43;Non-thermal sensitive
Rat_education_Morton;Summer workdays;1553.27;0.81;Thermal sensitive
Rat_education_Morton;Winter workdays;1140.08;0.79;Non-thermal sensitive
Rat_education_Mose;Summer workdays;134.34;1;Non-thermal sensitive
Rat_education_Mose;Winter workdays;191.2;0.96;Thermal sensitive
Rat_education_Nellie;Summer workdays;12602.67;0.62;Thermal sensitive
Rat_education_Nellie;Winter workdays;9458.78;0.7;Non-thermal sensitive
Rat_education_Nona;Summer workdays;427.74;0.56;Non-thermal sensitive
Rat_education_Nona;Winter workdays;943.58;0.91;Thermal sensitive
Rat_education_Nydia;Summer workdays;1857.7;0.63;Thermal sensitive
Rat_education_Nydia;Winter workdays;1549.23;0.6;Non-thermal sensitive
Rat_education_Pat;Summer workdays;3063.34;0.62;Thermal sensitive
Rat_education_Pat;Winter workdays;2305.5;0.54;Non-thermal sensitive
Rat_education_Patty;Summer workdays;2461.03;0.96;Thermal sensitive
Rat_education_Patty;Winter workdays;1645.96;1.06;Thermal sensitive
Rat_education_Renee;Summer workdays;920.23;0.85;Thermal sensitive
Rat_education_Renee;Winter workdays;626.82;0.89;Non-thermal sensitive
Rat_education_Robyn;Summer workdays;11475.78;0.74;Non-thermal sensitive
Rat_education_Robyn;Winter workdays;9635.87;0.81;Non-thermal sensitive
Rat_education_Rogelio;Summer workdays;3067.54;0.6;Thermal sensitive
Rat_education_Rogelio;Winter workdays;3030.89;0.66;Thermal sensitive
Rat_education_Rosalyn;Summer workdays;1647.61;0.65;Thermal sensitive
Rat_education_Rosalyn;Winter workdays;1691.46;0.7;Thermal sensitive
Rat_education_Royal;Summer workdays;237.25;0.55;Thermal sensitive
Rat_education_Royal;Winter workdays;136.4;0.66;Non-thermal sensitive
Rat_education_Salvatore;Summer workdays;5137.57;1.89;Non-thermal sensitive
Rat_education_Salvatore;Winter workdays;6278.22;0.96;Non-thermal sensitive
Rat_education_Shellie;Summer workdays;3176.4;0.72;Thermal sensitive
Rat_education_Shellie;Winter workdays;2736.52;0.69;Non-thermal sensitive
Rat_education_Sherwood;Summer workdays;272.41;1.01;Thermal sensitive
Rat_education_Sherwood;Winter workdays;295.49;1.06;Thermal sensitive
Rat_education_Sina;Summer workdays;81.43;0.65;Thermal sensitive
Rat_education_Sina;Winter workdays;90.05;0.94;Thermal sensitive
Rat_education_Stuart;Summer workdays;562.25;1.05;Thermal sensitive
Rat_education_Stuart;Winter workdays;413.41;1.12;Non-thermal sensitive
Rat_education_Terese;Summer workdays;965.82;0.94;Thermal sensitive
Rat_education_Terese;Winter workdays;600.36;0.91;Non-thermal sensitive
Rat_education_Theo;Summer workdays;12655.05;0.69;Non-thermal sensitive
Rat_education_Theo;Winter workdays;12806.69;0.75;Thermal sensitive
